year,country,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1744,Albania,57.311375,14.061874999999999,2.2430000000000003
1744,Andorra,53.89295,12.162750000000003,2.1766249999999996
1744,Austria,46.012550000000005,7.784750000000002,2.08025
1744,Belarus,46.579325,8.099625,2.4177500000000003
1744,Belgium,51.22579999999999,10.681,1.8463749999999999
1744,Bosnia And Herzegovina,53.635549999999995,12.019750000000002,2.3567500000000003
1744,Bulgaria,54.111200000000004,12.284,2.524625
1744,Croatia,55.31045,12.95025,2.2646249999999997
1744,Czech Republic,48.645275,9.247375000000002,1.9831249999999998
1744,Denmark (Europe),48.43445000000001,9.130249999999998,1.7618749999999999
1744,Estonia,44.48795,6.937749999999999,1.9336249999999997
1744,Europe,48.911674999999995,9.395375,1.8456249999999998
1744,Faroe Islands,44.316275,6.8423750000000005,1.927375
1744,Finland,38.24375,3.46875,2.8027499999999996
1744,France,56.498225,13.610125,2.0047499999999996
1744,France (Europe),52.693025000000006,11.496125,2.081875
1744,Germany,49.174925,9.541624999999998,1.8102500000000001
1744,Greece,61.16270000000001,16.2015,2.12275
1744,Guernsey,52.903175000000005,11.612875,1.846375
1744,Hungary,52.814750000000004,11.563749999999999,2.33825
1744,Iceland,35.688649999999996,2.04925,2.584625
1744,Ireland,49.93115,9.96175,1.8191249999999999
1744,Isle Of Man,49.93182500000001,9.962125,1.82175
1744,Italy,57.210800000000006,14.006,1.9131250000000002
1744,Jersey,52.903175000000005,11.612875,1.846375
1744,Latvia,45.284225,7.380125000000001,1.977
1744,Liechtenstein,42.960425,6.089125,2.1443749999999997
1744,Lithuania,46.296275,7.942375,2.033125
1744,Luxembourg,50.779849999999996,10.43325,1.9104999999999999
1744,Macedonia,53.699450000000006,12.05525,2.4646250000000003
1744,Moldova,52.11365,11.17425,2.7776250000000005
1744,Monaco,50.418725,10.232625,1.959625
1744,Montenegro,53.26947500000001,11.816374999999999,2.3385000000000002
1744,Netherlands,51.182375,10.656875,1.7587499999999998
1744,Netherlands (Europe),50.516825000000004,10.287125,1.724875
1744,Norway,34.697075000000005,1.4983749999999996,2.5130000000000003
